Gene_Name	HBR_Rep1_ERCC-Mix2_Build37-ErccTranscripts-chr22.bed.counts	HBR_Rep2_ERCC-Mix2_Build37-ErccTranscripts-chr22.bed.counts	HBR_Rep3_ERCC-Mix2_Build37-ErccTranscripts-chr22.bed.counts	UHR_Rep1_ERCC-Mix1_Build37-ErccTranscripts-chr22.bed.counts	UHR_Rep2_ERCC-Mix1_Build37-ErccTranscripts-chr22.bed.counts	UHR_Rep3_ERCC-Mix1_Build37-ErccTranscripts-chr22.bed.counts
NM_001184970	199	236	235	557	436	479
NM_001197	7	9	13	13	21	14
NM_173050	2	4	2	24	68	19
NM_001003828	56	98	85	239	248	224
NM_013327	46	76	63	204	216	198
NM_001243386	42	76	63	197	209	189
NM_001243385	34	64	52	138	155	138
NM_001099294	155	210	179	185	153	150
NM_181334	38	41	36	163	147	119
NM_001198726	15	15	12	67	88	47
NM_001017526	15	15	12	67	88	47
NM_181335	15	15	12	67	88	47
NM_001242450	51	81	67	107	114	85
NR_134535	51	82	70	107	114	86
NM_138415	52	82	70	107	114	86
NM_001135862	52	82	70	107	114	86
NM_001284296	51	81	67	107	114	85
NM_001009880	293	320	293	219	164	160
NM_148674	5	8	12	19	33	22
NM_001291501	5	8	12	19	33	22
NM_014246	2	6	4	297	236	234
NM_015124	83	92	79	146	103	113
NM_001082967	660	842	755	99	159	74
NM_015381	372	479	450	65	103	53
NR_110523	19	22	16	670	509	497
NR_110522	19	22	16	670	509	497
NM_001304808	188	211	205	315	218	267
NM_001304809	185	210	203	313	217	263
NM_001164104	24	20	25	2	24	4
NM_018995	24	20	25	2	24	4
NM_001164105	24	20	25	2	24	4
NM_001164106	14	12	15	1	5	0
NM_012401	188	256	204	335	211	241
NM_001242899	245	299	293	333	259	275
NM_014678	245	299	293	333	259	275
NM_001242898	245	299	293	333	259	275
NM_001242900	245	299	293	333	259	275
NM_138433	0	0	1	3	8	1
NM_033517	659	828	717	77	69	57
NR_122113	12	7	8	445	279	312
NR_133911	5	3	1	126	85	91
NR_073459	1	2	1	72	59	55
NR_073460	1	2	1	72	59	55
NR_132385	0	0	0	11	23	6
NM_001136213	0	0	1	8	23	10
NM_001005239	0	0	0	0	0	0
NM_014406	0	0	0	1	2	0
NR_001591	18	28	27	155	132	135
NR_040115	4	4	4	42	31	29
NM_001037814	0	0	1	0	22	0
NR_015352	51	44	54	73	46	54
NM_001289905	71	70	60	109	95	95
NM_014339	71	70	60	109	95	95
NR_103793	6	4	4	3	7	1
NM_033070	33	60	40	139	97	130
NM_017829	40	69	49	142	104	137
NR_024483	7	10	10	3	7	7
NR_024482	7	10	10	3	7	7
NM_177405	28	31	34	32	32	16
NR_038398	2	0	1	1	4	2
NM_001303484	85	99	65	7	21	10
NM_031481	85	99	65	7	21	10
NM_001288707	17	20	15	2	11	4
NM_015367	252	317	278	311	257	245
NM_001270730	252	317	278	311	257	245
NM_001270728	252	317	278	311	257	245
NM_001270727	252	317	278	311	257	245
NM_001270726	252	317	278	311	257	245
NM_001270731	252	317	278	311	257	245
NM_001270729	252	317	278	311	257	245
NM_001270734	252	317	278	311	257	245
NM_001270735	252	317	278	311	257	245
NM_001270732	252	317	278	311	257	245
NR_073068	235	295	257	282	233	225
NR_073069	235	295	257	282	233	225
NM_001270733	208	258	227	208	155	172
NR_024417	0	0	0	0	5	0
NM_017929	89	96	92	128	86	121
NM_001199319	89	96	92	128	86	121
NM_001127649	89	96	92	128	86	121
NM_017414	3	5	2	18	15	13
NR_003267	0	2	0	1	5	1
NM_001195226	141	191	167	71	54	72
NM_016335	141	191	167	71	54	72
NR_045121	269	320	259	19	18	17
NR_002733	269	320	259	19	18	17
NM_001184781	361	427	426	543	334	432
NM_001173534	361	427	426	543	334	432
NM_001173533	361	427	426	543	334	432
NM_005137	361	427	426	543	334	432
NR_033674	361	427	426	543	334	432
NR_134304	44	51	37	74	42	57
NM_022719	44	51	37	74	42	57
NM_053006	6	7	9	8	6	7
NM_001166242	63	83	82	126	103	100
NM_173793	31	45	41	73	45	51
NM_001035247	43	56	54	201	129	152
NM_005659	43	56	54	201	129	152
NM_001178010	6	4	5	266	218	230
NM_003504	6	4	5	266	218	230
NM_001178011	6	4	5	266	218	230
NM_002688	340	485	400	127	80	99
NR_037611	355	493	400	126	85	115
NM_001009939	307	435	349	106	74	96
NR_037612	341	481	387	123	84	115
NM_005992	5	2	3	20	22	17
NM_080646	2	0	3	15	18	14
NM_024627	89	131	94	244	167	188
NM_000754	141	171	144	249	186	203
NM_001135161	118	146	120	198	138	159
NM_001135162	116	145	117	196	135	158
NM_007310	84	101	84	144	92	114
NM_001670	234	243	225	113	88	87
NM_001283179	84	114	113	169	127	136
NM_001283106	84	114	113	169	127	136
NR_104274	82	111	107	168	125	136
NM_001283116	82	111	107	168	125	136
NM_001283129	82	111	107	168	125	136
NM_001283148	82	111	107	168	125	136
NM_001283154	82	111	107	168	125	136
NM_152906	82	111	107	168	125	136
NM_001283186	82	111	107	168	125	136
NM_001283215	82	111	107	168	125	136
NM_001283235	82	111	107	168	125	136
NM_001283248	82	111	107	168	125	136
NM_001283199	82	111	107	168	125	136
NR_104275	68	82	83	133	97	106
NM_001190326	120	149	131	404	262	338
NM_022720	120	149	131	404	262	338
NM_182984	43	56	38	137	67	120
NM_022727	43	56	38	137	67	120
NM_001257994	43	56	38	137	67	120
NM_013373	107	123	102	124	96	80
NM_001185024	107	123	102	124	96	80
NM_023004	149	203	170	22	25	14
NR_003563	21	25	29	99	69	54
NM_001256525	38	49	45	108	81	98
NM_003426	38	49	45	108	81	98
NM_001256524	38	49	45	108	81	98
NR_046282	38	49	45	108	81	98
NM_001256523	38	49	45	108	81	98
NM_182895	15	17	9	41	30	40
NM_153334	15	17	9	41	30	40
NM_001293235	173	194	166	515	335	443
NM_015889	173	194	166	515	335	443
NM_001293234	173	194	166	515	335	443
NM_001003891	173	194	166	515	335	443
NM_001293236	173	194	166	515	335	443
NM_001293237	172	190	166	513	335	443
NM_000185	30	21	20	156	114	116
NM_005207	354	443	389	777	531	633
NR_110537	8	9	9	5	6	2
NM_144704	50	60	61	6	15	6
NM_001018060	50	60	61	6	15	6
NM_001146288	46	59	57	6	13	6
NR_027464	46	59	57	6	13	6
NM_006767	114	140	94	239	146	157
NM_001159554	46	35	32	19	20	22
NM_005446	46	35	32	19	20	22
NR_002829	2	0	2	0	0	0
NR_027006	1	5	3	1	3	2
NR_110991	1	5	3	1	3	2
NM_001291006	1	5	3	1	3	2
NR_037566	4	12	3	4	3	6
NR_108107	0	0	0	0	6	2
NR_024583	9	3	3	7	10	1
NM_001128633	1	3	3	9	7	4
NM_001128635	1	3	3	9	7	4
NM_015094	61	60	62	282	162	202
NM_001207052	3	1	6	0	3	2
NR_003700	56	85	66	185	142	147
NM_001128633	1	0	0	6	7	4
NM_001256355	197	247	207	476	327	360
NM_001256356	197	246	207	472	320	357
NM_003347	197	246	207	472	320	357
NR_028436	197	246	207	472	320	357
NR_046082	197	246	207	472	320	357
NM_152612	3	1	2	6	4	4
NM_014337	67	103	93	223	155	196
NM_001317996	67	103	93	223	155	196
NM_148176	67	103	93	223	155	196
NM_148175	67	103	93	223	155	196
NM_013313	135	152	135	121	78	116
NR_130910	135	152	135	121	78	116
NM_001282112	51	58	42	204	170	164
NM_003935	51	58	42	204	170	164
NM_001282113	51	58	42	204	170	164
NR_130643	29	37	39	77	67	54
NR_130642	29	37	39	77	67	54
NM_080764	29	37	39	77	67	54
NM_080740	0	0	0	12	15	14
NR_027426	0	0	0	1	2	0
NR_024591	5	5	0	3	6	4
NM_001256296	1	0	0	1	1	0
NM_001178126	1	0	0	1	1	0
NM_004914	22	33	33	36	32	28
NR_003950	27	29	27	5	8	5
NR_110539	1	0	1	1	10	2
NM_152855	0	0	2	0	1	3
NM_020070	0	0	2	0	1	3
NM_016449	10	18	9	7	18	6
NM_153615	85	116	102	92	70	74
NM_021916	20	39	30	70	48	36
NM_003073	86	97	104	154	151	148
NM_001007468	86	97	104	154	151	148
NM_001317946	86	97	104	154	151	148
NR_104247	75	85	57	57	60	51
NR_104248	46	56	39	45	44	30
NM_001024938	75	85	57	57	60	51
NM_030807	75	85	57	57	60	51
NM_001282864	75	81	57	56	60	50
NM_001024939	75	77	54	54	60	50
NM_001084393	21	26	27	73	67	66
NM_001084392	19	20	22	52	50	62
NM_001355	19	20	22	52	51	62
NR_003081	0	0	0	0	1	0
NR_003082	0	0	0	2	7	2
NM_004121	23	20	23	8	10	3
NM_001302465	23	20	23	8	10	3
NM_001302464	23	20	23	8	10	3
NM_001099782	23	20	23	8	10	3
NM_001099781	23	20	23	8	10	3
NR_003714	3	8	10	2	8	6
NM_001278500	25	40	25	50	39	30
NM_001278499	24	39	20	43	36	28
NM_000675	24	39	20	43	36	28
NR_103543	24	39	20	43	36	28
NR_103544	24	39	20	43	36	28
NR_028484	26	37	21	47	53	34
NM_001278497	19	28	16	35	24	23
NM_001278498	19	28	16	35	24	23
NR_028483	15	23	13	31	37	23
NM_001284255	71	72	75	394	225	295
NM_001284256	71	72	75	394	225	295
NM_001284257	71	72	75	394	225	295
NM_001284254	71	72	75	394	225	295
NM_001284253	71	75	76	403	231	300
NR_104286	71	75	76	403	231	300
NM_001284252	71	75	76	403	231	300
NM_001284251	71	75	76	403	231	300
NM_031444	71	72	75	394	225	295
NM_001278656	135	163	154	280	220	261
NR_103819	135	163	154	280	220	261
NM_004175	135	163	154	280	220	261
NM_013430	40	57	53	74	48	72
NM_207644	22	30	30	20	22	25
NM_013421	12	18	10	46	21	39
NM_001288833	12	18	10	46	21	39
NR_024593	8	11	7	13	8	8
NM_000496	2	3	0	1	11	1
NM_001135772	21	20	16	119	65	73
NM_182492	8	3	3	49	31	28
NR_033733	21	28	19	42	31	42
NR_033734	21	28	19	42	31	42
NM_020437	71	80	110	29	20	27
NM_001013694	25	31	44	46	36	35
NM_001008697	84	104	73	156	93	123
NM_012143	84	104	73	156	93	123
NM_003595	51	54	52	145	93	118
NM_001008566	44	34	34	104	60	90
NR_033320	620	706	673	66	51	66
NR_033321	620	706	673	66	51	66
NR_033319	620	706	673	66	51	66
NR_003491	620	706	673	66	51	66
NR_110540	6	5	4	1	9	1
NR_026963	211	242	230	241	199	189
NM_172002	11	13	22	36	31	31
NR_134560	11	13	22	36	31	31
NM_001318315	11	13	22	36	31	31
NM_001318314	11	13	22	36	31	31
NM_001318316	11	13	21	34	28	31
NM_001284263	68	74	60	242	186	175
NM_173510	68	74	60	242	186	175
NM_001284264	68	74	60	242	186	175
NM_001284265	68	74	59	242	186	174
NM_001079539	57	82	57	914	543	638
NM_005080	57	82	57	914	543	638
NR_046851	14	8	9	12	9	9
NM_001163287	161	156	167	389	279	360
NM_001163286	237	230	258	616	453	572
NM_001163285	237	230	258	616	453	572
NM_013986	237	230	258	616	453	572
NM_005243	237	230	258	616	453	572
NM_001278730	65	64	47	27	17	28
NM_152236	65	64	47	27	17	28
NM_006478	65	64	47	27	17	28
NR_002727	169	172	173	5	1	1
NM_021026	141	133	136	2	1	0
NM_001002878	49	61	55	136	92	106
NM_003678	49	61	55	136	92	106
NM_001002879	49	61	55	136	92	106
NM_001002877	49	61	55	136	92	106
NM_001202502	100	112	99	228	163	174
NM_003634	100	112	99	228	163	174
NM_001242906	68	69	75	153	114	138
NM_032204	68	69	75	153	114	138
NM_001257135	2	3	3	159	100	110
NM_002309	2	3	3	159	100	110
NM_031937	25	40	37	103	84	95
NM_001204240	25	40	37	103	84	95
NM_005877	105	160	117	253	175	220
NM_001318334	15	43	24	40	24	36
NM_001318335	1	13	6	9	8	9
NM_001017437	15	43	24	40	24	36
NR_046312	14	23	15	25	14	23
NM_001257378	0	0	0	0	7	0
NM_001257379	0	0	0	0	7	0
NM_001257382	0	0	0	0	7	0
NM_174975	0	0	0	0	7	0
NM_174977	0	0	1	4	6	8
NM_001161368	0	0	1	4	6	8
NM_001318105	29	33	27	6	13	9
NM_001318106	29	33	27	6	13	9
NM_001318107	29	33	27	6	13	9
NM_001318108	29	33	27	6	13	9
NM_001318109	29	33	27	6	13	9
NM_001318103	34	34	29	9	13	9
NM_001318104	34	34	29	9	13	9
NM_001282328	27	49	50	157	119	144
NM_001243225	25	49	49	154	112	141
NM_014303	25	49	49	154	112	141
NM_001282327	27	49	50	157	119	144
NM_000355	13	23	16	30	39	29
NM_001184726	13	23	16	30	39	29
NM_001282741	169	228	226	168	148	124
NM_001282742	96	131	131	107	85	92
NR_110493	297	344	331	882	596	642
NR_002323	297	344	331	882	596	642
NR_110492	297	344	331	882	596	642
NM_134270	48	46	45	101	77	102
NM_006932	48	46	45	101	77	102
NM_134269	48	46	45	101	77	102
NM_001207017	47	43	41	87	70	96
NM_001207018	40	41	37	76	61	86
NM_001002837	54	64	50	7	12	12
NM_001284286	54	64	50	7	12	12
NM_001284288	54	64	50	7	12	12
NM_001284289	54	64	50	7	12	12
NM_001284285	54	64	50	7	12	12
NM_001284287	54	64	50	7	12	12
NM_005569	125	154	133	190	141	132
NM_001031801	42	58	48	93	59	56
NM_016733	105	135	115	129	86	95
NM_052880	111	168	121	57	40	34
NM_001135911	111	168	121	57	40	34
NM_014323	78	89	76	229	154	170
NM_032052	78	89	76	229	154	170
NM_032050	78	89	76	229	154	170
NM_004147	39	51	63	125	85	87
NM_001007188	16	43	28	62	60	35
NM_003405	1022	1319	1137	377	250	307
NR_040114	0	0	0	0	7	0
NM_001010859	0	1	0	0	4	0
NM_001159545	12	13	14	2	7	2
NM_006605	6	1	5	1	4	1
NM_001159546	12	12	13	2	6	2
NM_001098527	12	13	14	2	6	2
NM_006604	2	2	1	0	1	3
NM_014306	55	73	63	154	101	140
NM_174932	0	0	0	0	11	0
NM_012179	147	168	173	334	298	291
NM_001033024	144	164	167	331	295	288
NM_001257990	144	164	167	331	295	288
NM_000362	339	434	415	1188	753	870
NR_134617	0	2	1	1	3	1
NR_038950	24	31	31	34	41	23
NR_038949	24	31	31	34	41	23
NM_001303508	0	0	0	26	17	18
NR_027780	57	70	69	213	136	159
NM_001003681	57	70	69	213	136	159
NM_001135729	80	105	67	87	70	63
NR_024194	80	105	67	87	69	62
NR_024195	80	105	67	87	69	62
NM_001135730	80	105	67	87	69	62
NM_001135732	80	105	67	87	69	62
NM_005488	80	105	67	87	69	62
NM_006739	18	18	13	263	156	246
NM_014310	53	79	58	15	21	20
NM_203378	0	0	0	10	13	8
NM_005368	0	0	0	10	13	8
NM_203377	0	0	0	10	15	9
NM_145641	12	8	13	46	48	27
NM_145642	12	8	13	46	48	27
NM_145640	12	8	12	46	44	27
NM_014349	12	8	12	46	44	27
NM_145639	12	8	12	46	44	27
NM_030644	12	8	12	46	44	27
NM_030643	9	7	8	9	7	8
NM_145660	9	7	8	9	7	8
NM_030882	124	146	141	170	139	132
NM_145637	124	146	142	170	139	132
NM_001136540	6	7	6	77	56	56
NM_003661	6	7	6	77	56	56
NM_001136541	6	7	6	77	56	56
NM_145343	6	7	6	77	56	56
NM_012473	35	38	37	73	50	45
NM_024955	62	88	85	199	101	114
NM_001102371	62	88	85	199	101	114
NM_003753	48	54	59	331	250	282
NR_134623	61	87	69	57	56	49
NM_006860	46	63	53	75	59	61
NM_001177701	46	63	53	75	59	61
NM_001315532	40	46	45	6	16	4
NM_002854	41	47	47	6	16	4
NM_013416	1	4	5	17	23	11
NM_000631	1	4	5	17	23	11
NM_000395	2	3	4	50	42	41
NM_178552	0	0	0	0	10	0
NM_001163857	0	0	0	0	10	0
NM_001130517	33	26	29	114	69	109
NM_001013436	33	26	29	114	69	109
NM_021126	33	26	29	114	69	109
NM_001282684	29	63	45	31	18	16
NM_001282685	29	63	45	31	18	16
NM_024681	29	63	45	31	18	16
NM_001282686	29	63	45	31	18	16
NM_000878	1	0	0	7	15	2
NM_001051	30	34	50	15	12	12
NM_001278687	29	32	40	12	11	12
NM_002872	5	8	5	93	68	79
NM_013385	21	27	19	24	25	17
NM_001318024	21	27	19	24	25	17
NM_052906	175	213	171	33	49	43
NM_014550	3	2	3	69	56	62
NM_152243	70	105	70	153	97	139
NM_018957	15	15	11	52	38	26
NR_109952	13	17	12	50	35	27
NM_020315	202	278	222	151	80	116
NM_007032	29	31	27	190	137	168
NM_001171690	15	15	22	54	40	34
NM_014291	15	15	22	54	40	33
NR_036556	36	52	54	91	61	81
NM_138797	36	52	54	91	61	81
NM_033386	54	63	61	147	102	124
NM_001301129	22	24	29	38	39	21
NR_125371	22	24	29	38	39	21
NM_021974	22	24	29	38	39	21
NM_006941	146	186	158	137	79	107
NM_001039583	67	69	66	46	39	64
NM_012407	67	69	66	46	39	64
NM_001039584	67	69	66	46	39	64
NM_025045	30	34	33	32	15	15
NM_001161572	34	29	26	127	93	93
NM_012323	34	29	26	127	93	93
NM_001161574	34	29	26	127	93	93
NM_001161573	31	27	26	124	92	86
NM_001289912	303	328	286	830	568	688
NM_152221	194	209	181	538	316	432
NM_001894	195	210	181	538	316	432
NR_002821	77	88	76	286	234	249
NM_004981	66	84	64	3	5	3
NM_152868	68	89	69	6	8	5
NM_006855	23	14	22	116	98	107
NM_006386	1277	1468	1349	2328	1559	1899
NM_001098504	1277	1468	1349	2328	1559	1899
NM_001291030	24	19	23	75	90	53
NM_001013647	24	19	23	75	90	53
NM_014876	150	165	134	272	207	204
NM_004286	130	178	140	357	194	265
NM_015374	278	375	296	310	213	268
NM_001199580	278	375	296	310	213	268
NM_001199579	278	375	296	310	213	268
NM_014293	392	447	406	74	72	51
NM_001193289	1	0	0	25	26	18
NM_145699	0	0	0	0	3	1
NM_001270406	0	0	0	0	3	1
NM_001270411	1	0	0	24	17	17
NM_004900	1	0	0	24	17	17
NM_152426	1	1	3	29	13	17
NM_175709	307	403	354	55	47	48
NM_033016	35	40	35	45	30	43
NM_002608	45	55	49	51	36	52
NM_004711	814	1094	948	73	71	62
